planetName,hostName,defaultParameterSet,starsNu,planetsNu,discMethod,discYear,discFacility,solutionType
Kepler-579 b,Kepler-579,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-579 b,Kepler-579,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-579 b,Kepler-579,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-579 b,Kepler-579,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-579 b,Kepler-579,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-579 b,Kepler-579,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-579 b,Kepler-579,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-579 b,Kepler-579,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-579 b,Kepler-579,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-580 b,Kepler-580,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-580 b,Kepler-580,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-580 b,Kepler-580,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-580 b,Kepler-580,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-580 b,Kepler-580,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-580 b,Kepler-580,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-580 b,Kepler-580,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-580 b,Kepler-580,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-580 b,Kepler-580,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-580 b,Kepler-580,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-581 b,Kepler-581,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-581 b,Kepler-581,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-581 b,Kepler-581,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-581 b,Kepler-581,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-581 b,Kepler-581,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-581 b,Kepler-581,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-581 b,Kepler-581,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-581 b,Kepler-581,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-581 b,Kepler-581,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-581 b,Kepler-581,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-582 b,Kepler-582,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-582 b,Kepler-582,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-582 b,Kepler-582,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-582 b,Kepler-582,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-582 b,Kepler-582,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-582 b,Kepler-582,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-582 b,Kepler-582,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-582 b,Kepler-582,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-582 b,Kepler-582,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-582 b,Kepler-582,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-583 b,Kepler-583,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-583 b,Kepler-583,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-583 b,Kepler-583,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-583 b,Kepler-583,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-583 b,Kepler-583,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-583 b,Kepler-583,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-583 b,Kepler-583,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-583 b,Kepler-583,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-583 b,Kepler-583,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-583 b,Kepler-583,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-584 b,Kepler-584,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-584 b,Kepler-584,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-584 b,Kepler-584,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-584 b,Kepler-584,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-584 b,Kepler-584,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-584 b,Kepler-584,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-584 b,Kepler-584,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-584 b,Kepler-584,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-584 b,Kepler-584,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-584 b,Kepler-584,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-585 b,Kepler-585,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-585 b,Kepler-585,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-585 b,Kepler-585,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-585 b,Kepler-585,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-585 b,Kepler-585,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-585 b,Kepler-585,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-585 b,Kepler-585,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-585 b,Kepler-585,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-585 b,Kepler-585,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-585 b,Kepler-585,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-586 b,Kepler-586,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-586 b,Kepler-586,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-586 b,Kepler-586,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-586 b,Kepler-586,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-586 b,Kepler-586,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-586 b,Kepler-586,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-586 b,Kepler-586,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-586 b,Kepler-586,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-586 b,Kepler-586,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-586 b,Kepler-586,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-587 b,Kepler-587,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-587 b,Kepler-587,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-587 b,Kepler-587,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-587 b,Kepler-587,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-587 b,Kepler-587,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-587 b,Kepler-587,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-587 b,Kepler-587,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-587 b,Kepler-587,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-587 b,Kepler-587,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-587 b,Kepler-587,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-588 b,Kepler-588,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-588 b,Kepler-588,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-588 b,Kepler-588,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-588 b,Kepler-588,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-588 b,Kepler-588,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-588 b,Kepler-588,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-588 b,Kepler-588,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-588 b,Kepler-588,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-588 b,Kepler-588,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-588 b,Kepler-588,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-589 b,Kepler-589,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-589 b,Kepler-589,0,1,2,Transit,2016,Kepler,Published Confirmed
Kepler-589 b,Kepler-589,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-589 b,Kepler-589,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-589 b,Kepler-589,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-589 b,Kepler-589,1,1,2,Transit,2016,Kepler,Published Confirmed
Kepler-589 b,Kepler-589,0,1,2,Transit,2016,Kepler,Published Confirmed
Kepler-589 b,Kepler-589,0,1,2,Transit,2016,Kepler,Published Confirmed
Kepler-589 b,Kepler-589,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-589 b,Kepler-589,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-590 b,Kepler-590,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-590 b,Kepler-590,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-590 b,Kepler-590,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-590 b,Kepler-590,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-590 b,Kepler-590,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-590 b,Kepler-590,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-590 b,Kepler-590,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-590 b,Kepler-590,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-590 b,Kepler-590,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-590 b,Kepler-590,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-591 b,Kepler-591,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-591 b,Kepler-591,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-591 b,Kepler-591,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-591 b,Kepler-591,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-591 b,Kepler-591,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-591 b,Kepler-591,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-591 b,Kepler-591,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-591 b,Kepler-591,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-591 b,Kepler-591,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-591 b,Kepler-591,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-592 b,Kepler-592,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-592 b,Kepler-592,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-592 b,Kepler-592,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-592 b,Kepler-592,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-592 b,Kepler-592,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-592 b,Kepler-592,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-592 b,Kepler-592,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-592 b,Kepler-592,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-592 b,Kepler-592,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-592 b,Kepler-592,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-593 b,Kepler-593,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-593 b,Kepler-593,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-593 b,Kepler-593,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-593 b,Kepler-593,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-593 b,Kepler-593,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-593 b,Kepler-593,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-593 b,Kepler-593,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-593 b,Kepler-593,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-593 b,Kepler-593,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-593 b,Kepler-593,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-594 b,Kepler-594,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-594 b,Kepler-594,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-594 b,Kepler-594,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-594 b,Kepler-594,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-594 b,Kepler-594,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-594 b,Kepler-594,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-594 b,Kepler-594,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-594 b,Kepler-594,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-594 b,Kepler-594,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-594 b,Kepler-594,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-595 b,Kepler-595,1,1,2,Transit,2016,Kepler,Published Confirmed
Kepler-595 b,Kepler-595,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-595 b,Kepler-595,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-595 b,Kepler-595,0,1,2,Transit,2016,Kepler,Published Confirmed
Kepler-595 b,Kepler-595,0,1,2,Transit,2016,Kepler,Published Confirmed
Kepler-595 b,Kepler-595,0,1,2,Transit,2016,Kepler,Published Confirmed
Kepler-595 b,Kepler-595,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-595 b,Kepler-595,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-595 b,Kepler-595,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-595 b,Kepler-595,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-596 b,Kepler-596,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-596 b,Kepler-596,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-596 b,Kepler-596,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-596 b,Kepler-596,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-596 b,Kepler-596,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-596 b,Kepler-596,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-596 b,Kepler-596,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-596 b,Kepler-596,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-596 b,Kepler-596,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-596 b,Kepler-596,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-597 b,Kepler-597,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-597 b,Kepler-597,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-597 b,Kepler-597,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-597 b,Kepler-597,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-597 b,Kepler-597,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-597 b,Kepler-597,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-597 b,Kepler-597,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-597 b,Kepler-597,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-597 b,Kepler-597,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-597 b,Kepler-597,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-598 b,Kepler-598,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-598 b,Kepler-598,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-598 b,Kepler-598,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-598 b,Kepler-598,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-598 b,Kepler-598,0,1,2,Transit,2016,Kepler,Published Confirmed
Kepler-598 b,Kepler-598,1,1,2,Transit,2016,Kepler,Published Confirmed
Kepler-598 b,Kepler-598,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-598 b,Kepler-598,0,1,2,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-598 b,Kepler-598,0,1,2,Transit,2016,Kepler,Published Confirmed
Kepler-599 b,Kepler-599,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-599 b,Kepler-599,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-599 b,Kepler-599,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-599 b,Kepler-599,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-599 b,Kepler-599,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-599 b,Kepler-599,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-599 b,Kepler-599,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-599 b,Kepler-599,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-599 b,Kepler-599,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-599 b,Kepler-599,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-600 b,Kepler-600,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-600 b,Kepler-600,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-600 b,Kepler-600,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-600 b,Kepler-600,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-600 b,Kepler-600,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-600 b,Kepler-600,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-600 b,Kepler-600,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-600 b,Kepler-600,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-600 b,Kepler-600,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-600 b,Kepler-600,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-601 b,Kepler-601,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-601 b,Kepler-601,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-601 b,Kepler-601,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-601 b,Kepler-601,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-601 b,Kepler-601,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-601 b,Kepler-601,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-601 b,Kepler-601,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-601 b,Kepler-601,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-601 b,Kepler-601,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-601 b,Kepler-601,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-602 b,Kepler-602,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-602 b,Kepler-602,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-602 b,Kepler-602,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-602 b,Kepler-602,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-602 b,Kepler-602,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-602 b,Kepler-602,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-602 b,Kepler-602,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-602 b,Kepler-602,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-602 b,Kepler-602,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-602 b,Kepler-602,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-603 b,Kepler-603,0,1,3,Transit,2016,Kepler,Published Confirmed
Kepler-603 b,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-603 b,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-603 b,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-603 b,Kepler-603,0,1,3,Transit,2016,Kepler,Published Confirmed
Kepler-603 b,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-603 b,Kepler-603,1,1,3,Transit,2016,Kepler,Published Confirmed
Kepler-603 b,Kepler-603,0,1,3,Transit,2016,Kepler,Published Confirmed
Kepler-603 b,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-603 b,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-603 c,Kepler-603,0,1,3,Transit,2016,Kepler,Published Confirmed
Kepler-603 c,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-603 c,Kepler-603,0,1,3,Transit,2016,Kepler,Published Confirmed
Kepler-603 c,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-603 c,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-603 c,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-603 c,Kepler-603,1,1,3,Transit,2016,Kepler,Published Confirmed
Kepler-603 c,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-603 c,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-603 c,Kepler-603,0,1,3,Transit,2016,Kepler,Published Confirmed
Kepler-603 d,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q16_koi)
Kepler-603 d,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q8_koi)
Kepler-603 d,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi)
Kepler-603 d,Kepler-603,1,1,3,Transit,2016,Kepler,Published Confirmed
Kepler-603 d,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q12_koi)
Kepler-603 d,Kepler-603,0,1,3,Transit,2016,Kepler,Published Confirmed
Kepler-603 d,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
Kepler-603 d,Kepler-603,0,1,3,Transit,2016,Kepler,Published Confirmed
Kepler-603 d,Kepler-603,0,1,3,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr24_koi)
Kepler-604 b,Kepler-604,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-604 b,Kepler-604,1,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-604 b,Kepler-604,0,1,1,Transit,2016,Kepler,Published Confirmed
Kepler-604 b,Kepler-604,0,1,1,Transit,2016,Kepler,Kepler Project Candidate (q1_q17_dr25_koi)
