planetName,hostName,defaultParameterSet,starsNu,planetsNu,discMethod,discYear,discFacility,solutionType
TIC 139270665 b,TIC 139270665,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TIC 139270665 c,TIC 139270665,1,1,2,Radial Velocity,2024,Lick Observatory,Published Confirmed
TIC 241249530 b,TIC 241249530,1,2,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TIC 365102760 b,TIC 365102760,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TIC 393818343 b,TIC 393818343,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TIC 393818343 b,TIC 393818343,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TIC 46432937 b,TIC 46432937,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TIC 4672985 b,TIC 4672985,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1135 b,TOI-1135,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1135 b,TOI-1135,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1135 b,TOI-1135,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1173 b,TOI-1173,1,2,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1173 b,TOI-1173,0,2,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1173 b,TOI-1173,0,2,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1174 b,TOI-1174,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1174 b,TOI-1174,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1180 b,TOI-1180,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1180 b,TOI-1180,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1184 b,TOI-1184,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1184 b,TOI-1184,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1199 b,TOI-1199,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1199 b,TOI-1199,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1224 b,TOI-1224,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1224 b,TOI-1224,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1224 c,TOI-1224,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1224 c,TOI-1224,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1244 b,TOI-1244,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1244 b,TOI-1244,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1248 b,TOI-1248,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1248 b,TOI-1248,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1249 b,TOI-1249,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1249 b,TOI-1249,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1269 b,TOI-1269,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1269 b,TOI-1269,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1273 b,TOI-1273,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1273 b,TOI-1273,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1279 b,TOI-1279,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1279 b,TOI-1279,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-128.01,TOI-128,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-128.01,TOI-128,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1294 b,TOI-1294,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1294 b,TOI-1294,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1294 c,TOI-1294,1,1,2,Radial Velocity,2024,W. M. Keck Observatory,Published Confirmed
TOI-1347 b,TOI-1347,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1347 b,TOI-1347,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1347 b,TOI-1347,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1347 c,TOI-1347,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1347 c,TOI-1347,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1347 c,TOI-1347,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1386 b,TOI-1386,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1386 b,TOI-1386,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1386 b,TOI-1386,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1386 c,TOI-1386,0,1,2,Radial Velocity,2024,W. M. Keck Observatory,Published Confirmed
TOI-1386 c,TOI-1386,1,1,2,Radial Velocity,2024,W. M. Keck Observatory,Published Confirmed
TOI-1408 c,TOI-1408,1,1,2,Transit Timing Variations,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1410 c,TOI-1410,1,1,2,Radial Velocity,2024,W. M. Keck Observatory,Published Confirmed
TOI-1410.01,TOI-1410,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1410.01,TOI-1410,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1410.01,TOI-1410,0,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1437 b,TOI-1437,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),TESS Project Candidate
TOI-1437 b,TOI-1437,0,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
TOI-1437 b,TOI-1437,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed
